scenario_id,label,threshold,identity,document_types,trailing_days,latest_per_organization,drop_newest_per_organization,document_count,organization_count,model_count,benchmark_count,document_benchmark_edge_count,organization_benchmark_edge_count,core_count,core_explicit_family_count,core_singleton_count,core_members,core_member_names,jaccard_vs_baseline,active_orgs_threshold_ok
canonical_all_t5,"All reviewed documents, canonical IDs, threshold 5",5,canonical,,,false,false,37,12,36,110,447,300,21,,,gpqa_diamond|hle|terminal_bench|swe_bench_verified|aime|livecodebench|mmlu_pro|swe_bench_pro|ifeval|mmlu|browsecomp|math_500|mmmu|humaneval|gsm8k|mmmlu|simpleqa|mcp_atlas|gdpval|automationbench|mbpp,GPQA Diamond|Humanity's Last Exam|Terminal-Bench|SWE-bench Verified|AIME|LiveCodeBench|MMLU-Pro|SWE-bench Pro|IFEval|MMLU|BrowseComp|MATH-500|MMMU|HumanEval|GSM8K|MMMLU|SimpleQA|MCP Atlas|GDPval|AutomationBench|MBPP,0.7619,true
canonical_all_t6,"All reviewed documents, canonical IDs, threshold 6",6,canonical,,,false,false,37,12,36,110,447,300,16,,,gpqa_diamond|hle|terminal_bench|swe_bench_verified|aime|livecodebench|mmlu_pro|swe_bench_pro|ifeval|mmlu|browsecomp|math_500|mmmu|humaneval|gsm8k|mmmlu,GPQA Diamond|Humanity's Last Exam|Terminal-Bench|SWE-bench Verified|AIME|LiveCodeBench|MMLU-Pro|SWE-bench Pro|IFEval|MMLU|BrowseComp|MATH-500|MMMU|HumanEval|GSM8K|MMMLU,1.0,true
canonical_all_t7,"All reviewed documents, canonical IDs, threshold 7",7,canonical,,,false,false,37,12,36,110,447,300,10,,,gpqa_diamond|hle|terminal_bench|swe_bench_verified|aime|livecodebench|mmlu_pro|swe_bench_pro|ifeval|mmlu,GPQA Diamond|Humanity's Last Exam|Terminal-Bench|SWE-bench Verified|AIME|LiveCodeBench|MMLU-Pro|SWE-bench Pro|IFEval|MMLU,0.625,true
model_cards_only_t6,"Model-card documents only, canonical IDs, threshold 6",6,canonical,model_card,,false,false,15,8,15,110,208,168,4,,,gpqa_diamond|hle|livecodebench|swe_bench_verified,GPQA Diamond|Humanity's Last Exam|LiveCodeBench|SWE-bench Verified,0.25,true
latest_per_organization_t6,"Latest reviewed document per organization, canonical IDs, threshold 6",6,canonical,,,true,false,12,12,12,110,144,144,3,,,terminal_bench|gpqa_diamond|hle,Terminal-Bench|GPQA Diamond|Humanity's Last Exam,0.1875,true
trailing_365d_t6,"Trailing 365 days, canonical IDs, threshold 6",6,canonical,,365,false,false,21,11,20,110,294,221,6,,,terminal_bench|hle|gpqa_diamond|swe_bench_pro|swe_bench_verified|browsecomp,Terminal-Bench|Humanity's Last Exam|GPQA Diamond|SWE-bench Pro|SWE-bench Verified|BrowseComp,0.375,true
trailing_180d_t6,"Trailing 180 days, canonical IDs, threshold 6",6,canonical,,180,false,false,15,9,15,110,206,165,4,,,hle|terminal_bench|gpqa_diamond|swe_bench_pro,Humanity's Last Exam|Terminal-Bench|GPQA Diamond|SWE-bench Pro,0.25,true
trailing_90d_t6,"Trailing 90 days, canonical IDs, threshold 6",6,canonical,,90,false,false,12,8,12,110,153,140,4,,,terminal_bench|hle|gpqa_diamond|swe_bench_pro,Terminal-Bench|Humanity's Last Exam|GPQA Diamond|SWE-bench Pro,0.25,true
reviewed_families_t6,"All reviewed documents, reviewed benchmark families, threshold 6",6,family,,,false,false,37,12,36,97,447,267,13,5,8,gpqa_family|swe_bench_family|hle|terminal_bench|mmlu_family|aime|livecodebench|mmmu_family|ifeval|browsecomp_family|math_500|humaneval|gsm8k,GPQA family|SWE-bench family|Humanity's Last Exam|Terminal-Bench|MMLU family|AIME|LiveCodeBench|MMMU family|IFEval|BrowseComp family|MATH-500|HumanEval|GSM8K,1.0,true
drop_newest_per_organization_t6,"Remove each organization's newest reviewed document, canonical IDs, threshold 6",6,canonical,,,false,true,25,9,24,110,303,193,9,,,gpqa_diamond|swe_bench_verified|aime|hle|livecodebench|terminal_bench|math_500|ifeval|mmlu,GPQA Diamond|SWE-bench Verified|AIME|Humanity's Last Exam|LiveCodeBench|Terminal-Bench|MATH-500|IFEval|MMLU,0.5625,true
